total DFI time:0seconds
 frequency resolution:3.97302
frequency grid number:210
w1    rephasing   non-rephasing  total:210
w1    I
-301.927295  1.544334072
-297.9542796  1.545067069
-293.9812643  1.545839612
-290.0082489  1.546648322
-286.0352335  1.547483974
-282.0622182  1.548338679
-278.0892028  1.549217012
-274.1161875  1.550139055
-270.1431721  1.551132369
-266.1701568  1.552217763
-262.1971414  1.553397414
-258.224126  1.5546556
-254.2511107  1.555971518
-250.2780953  1.557331577
-246.30508  1.558735764
-242.3320646  1.560201492
-238.3590492  1.561761974
-234.3860339  1.563453065
-230.4130185  1.565294712
-226.4400032  1.567280341
-222.4669878  1.569385869
-218.4939724  1.571597527
-214.5209571  1.573935017
-210.5479417  1.57644628
-206.5749264  1.579180528
-202.601911  1.582164436
-198.6288956  1.585395907
-194.6558803  1.588855258
-190.6828649  1.592521936
-186.7098496  1.59638673
-182.7368342  1.600458623
-178.7638189  1.604766946
-174.7908035  1.609361123
-170.8177881  1.614304895
-166.8447728  1.619659406
-162.8717574  1.625478851
-158.8987421  1.631837593
-154.9257267  1.638839734
-150.9527113  1.646574991
-146.979696  1.655077267
-143.0066806  1.664348611
-139.0336653  1.674419904
-135.0606499  1.685379464
-131.0876345  1.697371833
-127.1146192  1.710595188
-123.1416038  1.725271496
-119.1685885  1.741591793
-115.1955731  1.759699825
-111.2225577  1.77973184
-107.2495424  1.801881586
-103.276527  1.826471474
-99.30351167  1.854028398
-95.33049631  1.885345636
-91.35748095  1.921483686
-87.38446559  1.963710639
-83.41145023  2.013463019
-79.43843487  2.072384773
-75.46541951  2.142491585
-71.49240415  2.22649168
-67.51938879  2.328111623
-63.54637343  2.452302356
-59.57335807  2.605573453
-55.60034272  2.796888938
-51.62732736  3.039269268
-47.654312  3.352008255
-43.68129664  3.763703045
-39.70828128  4.316407568
-35.73526592  5.071123249
-31.76225056  6.115308181
-27.7892352  7.572031074
-23.81621984  9.605144719
-19.84320448  12.40496979
-15.87018912  16.12102777
-11.89717376  20.69125405
-7.924158405  25.56392783
-3.951143045  29.52191228
0.02187231376  31.07773054
3.994887673  29.52191228
7.967903032  25.56392783
11.94091839  20.69125405
15.91393375  16.12102777
19.88694911  12.40496979
23.85996447  9.605144719
27.83297983  7.572031074
31.80599519  6.115308181
35.77901055  5.071123249
39.75202591  4.316407568
43.72504127  3.763703045
47.69805662  3.352008255
51.67107198  3.039269268
55.64408734  2.796888938
59.6171027  2.605573453
63.59011806  2.452302356
67.56313342  2.328111623
71.53614878  2.22649168
75.50916414  2.142491585
79.4821795  2.072384773
83.45519486  2.013463019
87.42821022  1.963710639
91.40122558  1.921483686
95.37424093  1.885345636
99.34725629  1.854028398
103.3202717  1.826471474
107.293287  1.801881586
111.2663024  1.77973184
115.2393177  1.759699825
119.2123331  1.741591793
123.1853484  1.725271496
127.1583638  1.710595188
131.1313792  1.697371833
135.1043945  1.685379464
139.0774099  1.674419904
143.0504252  1.664348611
147.0234406  1.655077267
150.996456  1.646574991
154.9694713  1.638839734
158.9424867  1.631837593
162.915502  1.625478851
166.8885174  1.619659406
170.8615328  1.614304895
174.8345481  1.609361123
178.8075635  1.604766946
182.7805788  1.600458623
186.7535942  1.59638673
190.7266096  1.592521936
194.6996249  1.588855258
198.6726403  1.585395907
202.6456556  1.582164436
206.618671  1.579180528
210.5916864  1.57644628
214.5647017  1.573935017
218.5377171  1.571597527
222.5107324  1.569385869
226.4837478  1.567280341
230.4567631  1.565294712
234.4297785  1.563453065
238.4027939  1.561761974
242.3758092  1.560201492
246.3488246  1.558735764
250.3218399  1.557331577
254.2948553  1.555971518
258.2678707  1.5546556
262.240886  1.553397414
266.2139014  1.552217763
270.1869167  1.551132369
274.1599321  1.550139055
278.1329475  1.549217012
282.1059628  1.548338679
286.0789782  1.547483974
290.0519935  1.546648322
294.0250089  1.545839612
