total DFI time:0seconds
 frequency resolution:2.38381
frequency grid number:1400
w1    rephasing   non-rephasing  total:1400
w1    I
1577.818296  2.03294066
1580.202106  2.060119973
1582.585915  2.091156774
1584.969724  2.120176214
1587.353533  2.144659251
1589.737342  2.166287546
1592.121152  2.18345606
1594.504961  2.194798941
1596.88877  2.205753062
1599.272579  2.221874638
1601.656388  2.244692218
1604.040198  2.279587681
1606.424007  2.334221364
1608.807816  2.406916625
1611.191625  2.488894975
1613.575435  2.57313823
1615.959244  2.650790518
1618.343053  2.71099243
1620.726862  2.753584698
1623.110671  2.789564647
1625.494481  2.828052974
1627.87829  2.876660299
1630.262099  2.946860885
1632.645908  3.043251772
1635.029717  3.157470463
1637.413527  3.280783809
1639.797336  3.407841432
1642.181145  3.529133813
1644.564954  3.639819585
1646.948764  3.750187093
1649.332573  3.871031005
1651.716382  4.002078419
1654.100191  4.144697874
1656.484  4.30575834
1658.86781  4.486100495
1661.251619  4.686826662
1663.635428  4.920184582
1666.019237  5.195371222
1668.403046  5.509789309
1670.786856  5.865779556
1673.170665  6.272014495
1675.554474  6.726911912
1677.938283  7.226815026
1680.322093  7.779118207
1682.705902  8.386410819
1685.089711  9.047842435
1687.47352  9.795242377
1689.857329  10.6920567
1692.241139  11.79261743
1694.624948  13.14250345
1697.008757  14.80834893
1699.392566  16.88265943
1701.776376  19.51216801
1704.160185  22.96795176
1706.543994  27.66614814
1708.927803  34.15051521
1711.311612  43.12168813
1713.695422  55.40500307
1716.079231  71.70909974
1718.46304  92.20784722
1720.846849  115.8667162
1723.230658  139.5112
1725.614468  157.6589813
1727.998277  164.5497839
1730.382086  157.6589813
1732.765895  139.5112
1735.149705  115.8667162
1737.533514  92.20784722
1739.917323  71.70909974
1742.301132  55.40500307
1744.684941  43.12168813
1747.068751  34.15051521
1749.45256  27.66614814
1751.836369  22.96795176
1754.220178  19.51216801
1756.603987  16.88265943
1758.987797  14.80834893
1761.371606  13.14250345
1763.755415  11.79261743
1766.139224  10.6920567
1768.523034  9.795242377
1770.906843  9.047842435
1773.290652  8.386410819
1775.674461  7.779118207
1778.05827  7.226815026
1780.44208  6.726911912
1782.825889  6.272014495
1785.209698  5.865779556
1787.593507  5.509789309
1789.977316  5.195371222
1792.361126  4.920184582
1794.744935  4.686826662
1797.128744  4.486100495
1799.512553  4.30575834
1801.896363  4.144697874
1804.280172  4.002078419
1806.663981  3.871031005
1809.04779  3.750187093
1811.431599  3.639819585
1813.815409  3.529133813
1816.199218  3.407841432
1818.583027  3.280783809
1820.966836  3.157470463
1823.350645  3.043251772
1825.734455  2.946860885
1828.118264  2.876660299
1830.502073  2.828052974
1832.885882  2.789564647
1835.269692  2.753584698
1837.653501  2.71099243
1840.03731  2.650790518
1842.421119  2.57313823
1844.804928  2.488894975
1847.188738  2.406916625
1849.572547  2.334221364
1851.956356  2.279587681
1854.340165  2.244692218
1856.723975  2.221874638
1859.107784  2.205753062
1861.491593  2.194798941
1863.875402  2.18345606
1866.259211  2.166287546
1868.643021  2.144659251
1871.02683  2.120176214
1873.410639  2.091156774
