total DFI time:0.01seconds
 frequency resolution:27.8111
frequency grid number:30
w1    w3     rephasing   non-rephasing  total:30
w1    w3     I_r I_nr I_total
-305.8149539  -305.8149539  2.350284821  0.9276864481  3.277971269  
-305.8149539  -278.0038464  2.551536106  0.4756454533  3.027181559  
-305.8149539  -250.1927389  2.847684048  0.1725159066  3.020199954  
-305.8149539  -222.3816314  3.072131786  0.08507979004  3.157211576  
-305.8149539  -194.5705239  3.602962117  -0.1480825833  3.454879534  
-305.8149539  -166.7594163  3.892508522  -0.1565122952  3.735996227  
-305.8149539  -138.9483088  4.078234644  -0.1212228174  3.957011827  
-305.8149539  -111.1372013  3.233453194  0.6576011794  3.891054373  
-305.8149539  -83.3260938  2.744174925  1.184349268  3.928524194  
-305.8149539  -55.51498629  1.487104844  2.042248139  3.529352983  
-305.8149539  -27.70387877  -0.4768118549  2.730216002  2.253404147  
-305.8149539  0.10722874  1.529756573  2.758657564  4.288414138  
-305.8149539  27.91833625  -2.301253093  3.666938136  1.365685043  
-305.8149539  55.72944377  1.784561916  3.857662185  5.642224101  
-305.8149539  83.54055128  -2.874640234  3.311315549  0.4366753148  
-305.8149539  111.3516588  -0.2603759552  3.062457637  2.802081681  
-305.8149539  139.1627663  -1.116116637  2.69848391  1.582367273  
-305.8149539  166.9738738  0.2801901991  2.297403312  2.577593512  
-305.8149539  194.7849813  0.8336335816  2.200167637  3.033801219  
-305.8149539  222.5960889  1.196166998  1.951576559  3.147743556  
-305.8149539  250.4071964  1.175233487  1.884563306  3.059796793  
-278.0038464  -305.8149539  2.406818279  0.3642749742  2.771093254  
-278.0038464  -278.0038464  2.979796714  -0.5292599555  2.450536758  
-278.0038464  -250.1927389  3.225098345  0.4396580457  3.664756391  
-278.0038464  -222.3816314  3.715070292  -0.1076443961  3.607425896  
-278.0038464  -194.5705239  4.367406251  -0.4446712547  3.922734996  
-278.0038464  -166.7594163  4.956743014  -0.6124962515  4.344246762  
-278.0038464  -138.9483088  5.468854014  -0.6306618687  4.838192145  
-278.0038464  -111.1372013  4.870737802  0.1707035771  5.041441379  
-278.0038464  -83.3260938  4.235037492  0.6674421069  4.902479598  
-278.0038464  -55.51498629  1.277545262  1.854124804  3.131670066  
-278.0038464  -27.70387877  1.098522746  2.413217715  3.51174046  
-278.0038464  0.10722874  0.116067344  3.059373125  3.175440469  
-278.0038464  27.91833625  -0.6080030445  3.597695933  2.989692889  
-278.0038464  55.72944377  -3.426515049  4.084388243  0.6578731944  
-278.0038464  83.54055128  -1.020042661  4.075503263  3.055460602  
-278.0038464  111.3516588  -1.058141524  3.331471105  2.273329581  
-278.0038464  139.1627663  -1.014589114  2.948555409  1.933966296  
-278.0038464  166.9738738  0.3559552642  2.701251433  3.057206697  
-278.0038464  194.7849813  0.3639945474  2.343586454  2.707581001  
-278.0038464  222.5960889  0.7839137267  2.178173152  2.962086878  
-278.0038464  250.4071964  0.8972145086  1.969958425  2.867172933  
-250.1927389  -305.8149539  2.996026838  0.2138854941  3.209912332  
-250.1927389  -278.0038464  3.173675849  0.5010668592  3.674742708  
-250.1927389  -250.1927389  3.874587065  -0.209355858  3.665231207  
-250.1927389  -222.3816314  4.359108643  0.5196666162  4.878775259  
-250.1927389  -194.5705239  4.918661817  -0.8262225431  4.092439273  
-250.1927389  -166.7594163  5.747893874  -0.5639641118  5.183929762  
-250.1927389  -138.9483088  7.138565511  -0.5042818062  6.634283705  
-250.1927389  -111.1372013  6.340436951  0.1057250756  6.446162027  
-250.1927389  -83.3260938  3.7353565  1.038598985  4.773955484  
-250.1927389  -55.51498629  3.173935333  1.989936985  5.163872319  
-250.1927389  -27.70387877  0.3946309858  2.560627729  2.955258715  
-250.1927389  0.10722874  -0.1411505867  3.287772639  3.146622052  
-250.1927389  27.91833625  -1.391246217  4.20998253  2.818736313  
-250.1927389  55.72944377  -2.240421377  4.545615271  2.305193895  
-250.1927389  83.54055128  -2.656927621  4.431905046  1.774977425  
-250.1927389  111.3516588  -1.058134173  4.010309595  2.952175422  
-250.1927389  139.1627663  -0.6701027084  3.316856573  2.646753865  
-250.1927389  166.9738738  -0.6747492767  2.94028494  2.265535664  
-250.1927389  194.7849813  -0.7050010703  2.615300748  1.910299678  
-250.1927389  222.5960889  0.3032739582  2.35814844  2.661422398  
-250.1927389  250.4071964  0.4229082692  2.156451878  2.579360147  
-222.3816314  -305.8149539  3.36039118  0.134572635  3.494963815  
-222.3816314  -278.0038464  3.634515871  -0.09567182202  3.538844049  
-222.3816314  -250.1927389  4.359940867  0.505200404  4.865141271  
-222.3816314  -222.3816314  5.33223778  -1.379466256  3.952771524  
-222.3816314  -194.5705239  6.006357431  -1.797128657  4.209228775  
-222.3816314  -166.7594163  6.87758018  -1.658196284  5.219383897  
-222.3816314  -138.9483088  7.966243094  -1.199399185  6.766843909  
-222.3816314  -111.1372013  6.945496767  0.1627828898  7.108279657  
-222.3816314  -83.3260938  8.982529485  0.8737290778  9.856258562  
-222.3816314  -55.51498629  4.804947095  2.464068246  7.269015341  
-222.3816314  -27.70387877  1.301716094  3.32692728  4.628643374  
-222.3816314  0.10722874  1.682845403  3.462869604  5.145715007  
-222.3816314  27.91833625  -3.883214686  5.033086985  1.149872299  
-222.3816314  55.72944377  -3.476169567  5.64985026  2.173680693  
-222.3816314  83.54055128  -4.901412736  5.209340386  0.3079276497  
-222.3816314  111.3516588  -3.650717473  4.711914402  1.061196929  
-222.3816314  139.1627663  -2.344430093  4.012972689  1.668542596  
-222.3816314  166.9738738  -1.874871346  3.444598006  1.569726661  
-222.3816314  194.7849813  -0.4625786456  3.108548512  2.645969867  
-222.3816314  222.5960889  -0.403312736  2.597158294  2.193845558  
-222.3816314  250.4071964  -0.4120678424  2.453424916  2.041357074  
-194.5705239  -305.8149539  3.482634506  -0.188857825  3.293776681  
-194.5705239  -278.0038464  4.143543987  -0.4786265701  3.664917417  
-194.5705239  -250.1927389  5.125674572  -1.077074297  4.048600275  
-194.5705239  -222.3816314  6.029610327  -1.716184708  4.313425619  
-194.5705239  -194.5705239  8.087090505  -1.642919131  6.444171374  
