total DFI time:0seconds
 frequency resolution:27.8111
frequency grid number:30
w1    w3     rephasing   non-rephasing  total:30
w1    w3     I_r I_nr I_total
-305.8149539  -305.8149539  -0.9247639078  -0.9171205954  -1.841884503  
-305.8149539  -278.0038464  -0.1472630942  -1.255207032  -1.402470126  
-305.8149539  -250.1927389  -0.3247244135  -1.328668577  -1.65339299  
-305.8149539  -222.3816314  0.4171851256  -1.711901345  -1.294716219  
-305.8149539  -194.5705239  -0.1342359995  -1.889094379  -2.023330378  
-305.8149539  -166.7594163  0.5394818169  -1.816109165  -1.276627348  
-305.8149539  -138.9483088  0.6850128687  -1.541918161  -0.8569052919  
-305.8149539  -111.1372013  0.4535005955  -1.419993623  -0.966493028  
-305.8149539  -83.3260938  0.05660164402  -1.234035076  -1.177433432  
-305.8149539  -55.51498629  -0.2637073366  -1.095815083  -1.359522419  
-305.8149539  -27.70387877  -0.6096825141  -1.023360727  -1.633043241  
-305.8149539  0.10722874  -0.5525316595  -0.9616712293  -1.514202889  
-305.8149539  27.91833625  -0.6812831824  -0.9060286507  -1.587311833  
-305.8149539  55.72944377  -0.579048142  -0.8515269234  -1.430575065  
-305.8149539  83.54055128  -0.6990749767  -0.785460955  -1.484535932  
-305.8149539  111.3516588  -0.8772642681  -0.7600260253  -1.637290293  
-305.8149539  139.1627663  -0.8195416581  -0.6523040736  -1.471845732  
-305.8149539  166.9738738  -0.9256078575  -0.6365539111  -1.562161769  
-305.8149539  194.7849813  -1.066108779  -0.5544444539  -1.620553233  
-305.8149539  222.5960889  -0.9322509288  -0.495666093  -1.427917022  
-305.8149539  250.4071964  -1.099147846  -0.4168301283  -1.515977974  
-278.0038464  -305.8149539  -1.353554741  -0.730220132  -2.083774874  
-278.0038464  -278.0038464  -0.2195181478  -1.086773516  -1.306291664  
-278.0038464  -250.1927389  -0.5044351717  -1.437804251  -1.942239423  
-278.0038464  -222.3816314  0.1417412151  -1.695343303  -1.553602088  
-278.0038464  -194.5705239  1.454613822  -1.942084275  -0.4874704522  
-278.0038464  -166.7594163  0.8105994654  -2.129559738  -1.318960272  
-278.0038464  -138.9483088  0.6667510628  -1.775966078  -1.109215015  
-278.0038464  -111.1372013  0.377106978  -1.532962052  -1.155855074  
-278.0038464  -83.3260938  0.1716850023  -1.411627956  -1.239942954  
-278.0038464  -55.51498629  -0.1918023126  -1.213683405  -1.405485717  
-278.0038464  -27.70387877  -0.4205673456  -1.134368437  -1.554935783  
-278.0038464  0.10722874  -0.310471423  -1.012916187  -1.32338761  
-278.0038464  27.91833625  -0.6270325427  -0.9369117588  -1.563944302  
-278.0038464  55.72944377  -0.9727420894  -0.8836505762  -1.856392666  
-278.0038464  83.54055128  -0.5934770479  -0.802054835  -1.395531883  
-278.0038464  111.3516588  -0.6064427758  -0.7648354979  -1.371278274  
-278.0038464  139.1627663  -0.7927098121  -0.6553551577  -1.44806497  
-278.0038464  166.9738738  -0.7286766227  -0.6194189573  -1.34809558  
-278.0038464  194.7849813  -1.091064576  -0.5175691082  -1.608633684  
-278.0038464  222.5960889  -1.156150682  -0.4253831034  -1.581533785  
-278.0038464  250.4071964  -1.14500731  -0.3341802934  -1.479187603  
-250.1927389  -305.8149539  -1.805733914  -0.7737441445  -2.579478058  
-250.1927389  -278.0038464  -0.5138751756  -1.29945867  -1.813333846  
-250.1927389  -250.1927389  -0.2577977231  -1.366526773  -1.624324496  
-250.1927389  -222.3816314  0.7616236187  -2.033401515  -1.271777896  
-250.1927389  -194.5705239  0.7211186987  -2.213867629  -1.49274893  
-250.1927389  -166.7594163  1.45015357  -2.255716908  -0.8055633379  
-250.1927389  -138.9483088  0.9452757851  -2.112278625  -1.16700284  
-250.1927389  -111.1372013  0.1023804199  -1.783632499  -1.681252079  
-250.1927389  -83.3260938  0.56033101  -1.512497341  -0.9521663314  
-250.1927389  -55.51498629  0.2676683963  -1.379833675  -1.112165279  
-250.1927389  -27.70387877  0.0219570137  -1.219170899  -1.197213885  
-250.1927389  0.10722874  -0.1022210166  -1.110492188  -1.212713204  
-250.1927389  27.91833625  -0.473137022  -1.006368242  -1.479505264  
-250.1927389  55.72944377  -0.4609718272  -0.9078956105  -1.368867438  
-250.1927389  83.54055128  -0.8052677503  -0.8153694834  -1.620637234  
-250.1927389  111.3516588  -0.8371998335  -0.757008259  -1.594208093  
-250.1927389  139.1627663  -0.931214812  -0.6565726993  -1.587787511  
-250.1927389  166.9738738  -0.8165970747  -0.56729574  -1.383892815  
-250.1927389  194.7849813  -1.009013739  -0.5147670384  -1.523780777  
-250.1927389  222.5960889  -1.013420266  -0.4006559661  -1.414076232  
-250.1927389  250.4071964  -1.273677645  -0.2538443156  -1.52752196  
-222.3816314  -305.8149539  -3.181434329  -1.026168655  -4.207602984  
-222.3816314  -278.0038464  -1.284299613  -1.483835913  -2.768135526  
-222.3816314  -250.1927389  -0.8279686058  -1.686773773  -2.514742379  
-222.3816314  -222.3816314  1.144861652  -2.263679629  -1.118817977  
-222.3816314  -194.5705239  1.401261608  -2.665612954  -1.264351346  
-222.3816314  -166.7594163  2.956000956  -2.854394552  0.1016064041  
-222.3816314  -138.9483088  1.464391087  -2.36762611  -0.9032350228  
-222.3816314  -111.1372013  1.74473134  -2.133563045  -0.3888317043  
-222.3816314  -83.3260938  1.051975029  -1.879564627  -0.8275895974  
-222.3816314  -55.51498629  0.1918776116  -1.551701213  -1.359823602  
-222.3816314  -27.70387877  0.4909912074  -1.402143283  -0.9111520755  
-222.3816314  0.10722874  0.05538792726  -1.284048087  -1.22866016  
-222.3816314  27.91833625  -0.1370784377  -1.104415484  -1.241493922  
-222.3816314  55.72944377  -0.3858855243  -1.027417887  -1.413303411  
-222.3816314  83.54055128  -0.6245062147  -0.9239303798  -1.548436594  
-222.3816314  111.3516588  -0.71583698  -0.7813328502  -1.49716983  
-222.3816314  139.1627663  -0.8374666889  -0.6983065097  -1.535773199  
-222.3816314  166.9738738  -1.059050302  -0.6195873882  -1.67863769  
-222.3816314  194.7849813  -1.128240208  -0.4386224523  -1.56686266  
-222.3816314  222.5960889  -1.232341872  -0.4142529084  -1.64659478  
-222.3816314  250.4071964  -1.447998299  -0.274725896  -1.722724195  
-194.5705239  -305.8149539  -3.419028176  -1.062775744  -4.48180392  
-194.5705239  -278.0038464  -1.769934447  -1.610365409  -3.380299856  
-194.5705239  -250.1927389  -1.80191432  -2.02142562  -3.823339939  
-194.5705239  -222.3816314  -0.391453229  -2.543363854  -2.934817083  
-194.5705239  -194.5705239  1.486290551  -2.957505341  -1.47121479  
-194.5705239  -166.7594163  2.213971959  -3.331130684  -1.117158725  
-194.5705239  -138.9483088  2.295592701  -2.832261143  -0.5366684422  
-194.5705239  -111.1372013  0.4364500049  -2.398744268  -1.962294263  
-194.5705239  -83.3260938  0.8403975976  -2.130948946  -1.290551348  
-194.5705239  -55.51498629  1.024217802  -1.78715322  -0.7629354177  
-194.5705239  -27.70387877  0.2993647786  -1.585285147  -1.285920368  
-194.5705239  0.10722874  0.4052233595  -1.38122538  -0.9760020203  
-194.5705239  27.91833625  0.1744433536  -1.201545871  -1.027102517  
-194.5705239  55.72944377  -0.290926838  -1.08295321  -1.373880048  
-194.5705239  83.54055128  -0.3975130646  -0.9420172551  -1.33953032  
-194.5705239  111.3516588  -0.4318727838  -0.8159141502  -1.247786934  
-194.5705239  139.1627663  -0.758436742  -0.6850524645  -1.443489206  
-194.5705239  166.9738738  -0.8530241871  -0.5672672107  -1.420291398  
-194.5705239  194.7849813  -1.048404713  -0.4150461339  -1.463450847  
-194.5705239  222.5960889  -1.279232135  -0.2885579613  -1.567790097  
-194.5705239  250.4071964  -1.464961837  -0.1274488777  -1.592410715  
-166.7594163  -305.8149539  -7.043055786  -1.707913629  -8.750969416  
-166.7594163  -278.0038464  -3.135949123  -2.29563655  -5.431585673  
-166.7594163  -250.1927389  -0.9959853404  -2.255114062  -3.251099403  
-166.7594163  -222.3816314  0.2105968614  -3.329409408  -3.118812547  
-166.7594163  -194.5705239  2.227163461  -3.579921108  -1.352757647  
-166.7594163  -166.7594163  2.254820639  -3.774424197  -1.519603558  
-166.7594163  -138.9483088  2.910647534  -3.414610722  -0.5039631884  
-166.7594163  -111.1372013  2.148215996  -2.838737632  -0.690521636  
-166.7594163  -83.3260938  0.7255678847  -2.426855724  -1.701287839  
-166.7594163  -55.51498629  0.6636787651  -2.091499638  -1.427820873  
-166.7594163  -27.70387877  0.4342073593  -1.75658401  -1.322376651  
-166.7594163  0.10722874  0.2855802473  -1.60811684  -1.322536593  
-166.7594163  27.91833625  0.1887730722  -1.360393635  -1.171620563  
-166.7594163  55.72944377  0.03679611905  -1.167966915  -1.131170796  
-166.7594163  83.54055128  -0.3209005054  -1.062206758  -1.383107263  
