total DFI time:0.001133seconds
 frequency resolution:3.97302
frequency grid number:210
w1    rephasing   non-rephasing  total:210
w1    I
-301.927295  0.5147780241
-297.9542796  0.5150223562
-293.9812643  0.5152798706
-290.0082489  0.5155494405
-286.0352335  0.5158279914
-282.0622182  0.5161128929
-278.0892028  0.5164056705
-274.1161875  0.5167130183
-270.1431721  0.517044123
-266.1701568  0.5174059211
-262.1971414  0.517799138
-258.224126  0.5182185332
-254.2511107  0.5186571725
-250.2780953  0.5191105256
-246.30508  0.5195785881
-242.3320646  0.5200671639
-238.3590492  0.5205873246
-234.3860339  0.5211510217
-230.4130185  0.521764904
-226.4400032  0.5224267804
-222.4669878  0.523128623
-218.4939724  0.5238658422
-214.5209571  0.5246450056
-210.5479417  0.5254820934
-206.5749264  0.5263935092
-202.601911  0.5273881453
-198.6288956  0.5284653024
-194.6558803  0.5296184193
-190.6828649  0.5308406452
-186.7098496  0.5321289101
-182.7368342  0.5334862078
-178.7638189  0.5349223153
-174.7908035  0.5364537077
-170.8177881  0.5381016318
-166.8447728  0.5398864687
-162.8717574  0.5418262835
-158.8987421  0.5439458643
-154.9257267  0.5462799114
-150.9527113  0.5488583303
-146.979696  0.5516924225
-143.0066806  0.5547828704
-139.0336653  0.558139968
-135.0606499  0.5617931548
-131.0876345  0.5657906109
-127.1146192  0.5701983961
-123.1416038  0.5750904985
-119.1685885  0.5805305977
-115.1955731  0.5865666082
-111.2225577  0.5932439466
-107.2495424  0.6006271954
-103.276527  0.6088238246
-99.30351167  0.6180094661
-95.33049631  0.6284485454
-91.35748095  0.6404945619
-87.38446559  0.654570213
-83.41145023  0.6711543397
-79.43843487  0.6907949244
-75.46541951  0.7141638617
-71.49240415  0.7421638934
-67.51938879  0.7760372078
-63.54637343  0.8174341187
-59.57335807  0.8685244843
-55.60034272  0.9322963127
-51.62732736  1.013089756
-47.654312  1.117336085
-43.68129664  1.254567682
-39.70828128  1.438802523
-35.73526592  1.690374416
-31.76225056  2.03843606
-27.7892352  2.524010358
-23.81621984  3.201714906
-19.84320448  4.134989931
-15.87018912  5.373675924
-11.89717376  6.897084682
-7.924158405  8.521309276
-3.951143045  9.840637426
0.02187231376  10.35924351
3.994887673  9.840637426
7.967903032  8.521309276
11.94091839  6.897084682
15.91393375  5.373675924
19.88694911  4.134989931
23.85996447  3.201714906
27.83297983  2.524010358
31.80599519  2.03843606
35.77901055  1.690374416
39.75202591  1.438802523
43.72504127  1.254567682
47.69805662  1.117336085
51.67107198  1.013089756
55.64408734  0.9322963127
59.6171027  0.8685244843
63.59011806  0.8174341187
67.56313342  0.7760372078
71.53614878  0.7421638934
75.50916414  0.7141638617
79.4821795  0.6907949244
83.45519486  0.6711543397
87.42821022  0.654570213
91.40122558  0.6404945619
95.37424093  0.6284485454
99.34725629  0.6180094661
103.3202717  0.6088238246
107.293287  0.6006271954
111.2663024  0.5932439466
115.2393177  0.5865666082
119.2123331  0.5805305977
123.1853484  0.5750904985
127.1583638  0.5701983961
131.1313792  0.5657906109
135.1043945  0.5617931548
139.0774099  0.558139968
143.0504252  0.5547828704
147.0234406  0.5516924225
150.996456  0.5488583303
154.9694713  0.5462799114
158.9424867  0.5439458643
162.915502  0.5418262835
166.8885174  0.5398864687
170.8615328  0.5381016318
174.8345481  0.5364537077
178.8075635  0.5349223153
182.7805788  0.5334862078
186.7535942  0.5321289101
190.7266096  0.5308406452
194.6996249  0.5296184193
198.6726403  0.5284653024
202.6456556  0.5273881453
206.618671  0.5263935092
210.5916864  0.5254820934
214.5647017  0.5246450056
218.5377171  0.5238658422
222.5107324  0.523128623
226.4837478  0.5224267804
230.4567631  0.521764904
234.4297785  0.5211510217
238.4027939  0.5205873246
242.3758092  0.5200671639
246.3488246  0.5195785881
250.3218399  0.5191105256
254.2948553  0.5186571725
258.2678707  0.5182185332
262.240886  0.517799138
266.2139014  0.5174059211
270.1869167  0.517044123
274.1599321  0.5167130183
278.1329475  0.5164056705
282.1059628  0.5161128929
286.0789782  0.5158279914
290.0519935  0.5155494405
294.0250089  0.5152798706
