td_k td_l  td_m
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
1.0 1.0  1.0 
