total DFI time:0.000778seconds
 frequency resolution:4.17167
frequency grid number:200
w1    rephasing   non-rephasing  total:200
w1    I
-300.3380888  1.544622507
-296.1664227  1.54540988
-291.9947566  1.546239918
-287.8230905  1.547105279
-283.6514243  1.54799459
-279.4797582  1.548905929
-275.3080921  1.549856219
-271.136426  1.550875964
-266.9647598  1.551992902
-262.7930937  1.553214943
-258.6214276  1.554526867
-254.4497614  1.555904608
-250.2780953  1.557331577
-246.1064292  1.558807365
-241.9347631  1.560352643
-237.7630969  1.562006561
-233.5914308  1.563809165
-229.4197647  1.565778432
-225.2480986  1.567900523
-221.0764324  1.570147669
-216.9047663  1.572515125
-212.7331002  1.575040329
-208.561434  1.577783163
-204.3897679  1.580790317
-200.2181018  1.584074682
-196.0464357  1.587619994
-191.8747695  1.591401022
-187.7031034  1.595401812
-183.5314373  1.599626563
-179.3597712  1.604103899
-175.188105  1.608887071
-171.0164389  1.614048409
-166.8447728  1.619659406
-162.6731066  1.6257832
-158.5014405  1.632507056
-154.3297744  1.639951768
-150.1581083  1.648213946
-145.9864421  1.657322694
-141.814776  1.667283113
-137.6431099  1.678148487
-133.4714438  1.690042478
-129.2997776  1.703156643
-125.1281115  1.717738541
-120.9564454  1.734034197
-116.7847792  1.752233908
-112.6131131  1.772491652
-108.441447  1.794998382
-104.2697809  1.820070633
-100.0981147  1.848245664
-95.92644861  1.880369329
-91.75478248  1.917618145
-87.58311636  1.961433204
-83.41145023  2.013463019
-79.2397841  2.075605389
-75.06811798  2.150213732
-70.89645185  2.240505113
-66.72478572  2.35096176
-62.55311959  2.487595639
-58.38145347  2.658476733
-54.20978734  2.875083921
-50.03812121  3.154567861
-45.86645509  3.522876646
-41.69478896  4.019136448
-37.52312283  4.701629882
-33.3514567  5.655922127
-29.17979058  7.005841231
-25.00812445  8.923487797
-20.83645832  11.62311449
-16.66479219  15.30239655
-12.49312607  19.96552559
-8.321459941  25.09297902
-4.149793813  29.36988062
0.02187231376  31.07773054
4.193538441  29.36988062
8.365204568  25.09297902
12.5368707  19.96552559
16.70853682  15.30239655
20.88020295  11.62311449
25.05186908  8.923487797
29.2235352  7.005841231
33.39520133  5.655922127
37.56686746  4.701629882
41.73853359  4.019136448
45.91019971  3.522876646
50.08186584  3.154567861
54.25353197  2.875083921
58.42519809  2.658476733
62.59686422  2.487595639
66.76853035  2.35096176
70.94019648  2.240505113
75.1118626  2.150213732
79.28352873  2.075605389
83.45519486  2.013463019
87.62686098  1.961433204
91.79852711  1.917618145
95.97019324  1.880369329
100.1418594  1.848245664
104.3135255  1.820070633
108.4851916  1.794998382
112.6568577  1.772491652
116.8285239  1.752233908
121.00019  1.734034197
125.1718561  1.717738541
129.3435223  1.703156643
133.5151884  1.690042478
137.6868545  1.678148487
141.8585206  1.667283113
146.0301868  1.657322694
150.2018529  1.648213946
154.373519  1.639951768
158.5451851  1.632507056
162.7168513  1.6257832
166.8885174  1.619659406
171.0601835  1.614048409
175.2318497  1.608887071
179.4035158  1.604103899
183.5751819  1.599626563
187.746848  1.595401812
191.9185142  1.591401022
196.0901803  1.587619994
200.2618464  1.584074682
204.4335125  1.580790317
208.6051787  1.577783163
212.7768448  1.575040329
216.9485109  1.572515125
221.1201771  1.570147669
225.2918432  1.567900523
229.4635093  1.565778432
233.6351754  1.563809165
237.8068416  1.562006561
241.9785077  1.560352643
246.1501738  1.558807365
250.3218399  1.557331577
254.4935061  1.555904608
258.6651722  1.554526867
262.8368383  1.553214943
267.0085045  1.551992902
271.1801706  1.550875964
275.3518367  1.549856219
279.5235028  1.548905929
283.695169  1.54799459
287.8668351  1.547105279
292.0385012  1.546239918
