total DFI time:0.000366seconds
 frequency resolution:41.7167
frequency grid number:20
w1    w3     rephasing   non-rephasing  total:20
w1    w3     I_r I_nr I_total
-333.6260614  -333.6260614  0.3404409875  0.3105963377  0.6510373252  
-333.6260614  -291.9094002  1.823273871  -0.2941455653  1.529128306  
-333.6260614  -250.1927389  1.391210559  -0.7819200603  0.6092904984  
-333.6260614  -208.4760776  3.160325597  -1.178488076  1.981837521  
-333.6260614  -166.7594163  5.068228506  -1.202296476  3.86593203  
-333.6260614  -125.0427551  3.677890479  -0.7134451481  2.964445331  
-333.6260614  -83.3260938  1.773903937  0.3164509443  2.090354881  
-333.6260614  -41.60943253  -0.7907591282  1.351925316  0.5611661875  
-333.6260614  0.10722874  1.088750995  1.982626062  3.071377057  
-333.6260614  41.82389001  0.756737261  2.33783692  3.094574181  
-333.6260614  83.54055128  -3.987533792  2.139784126  -1.847749666  
-333.6260614  125.2572126  -1.363035426  1.641721213  0.2786857868  
-333.6260614  166.9738738  0.7944490132  1.320173567  2.11462258  
-333.6260614  208.6905351  0.7995068815  1.21014289  2.009649771  
-333.6260614  250.4071964  0.1910583919  1.193036625  1.384095017  
-291.9094002  -333.6260614  0.09189490451  0.4030231667  0.4949180712  
-291.9094002  -291.9094002  2.135133306  -0.5233617623  1.611771544  
-291.9094002  -250.1927389  2.720663173  -1.291883105  1.428780068  
-291.9094002  -208.4760776  4.32366118  -1.779392148  2.544269032  
-291.9094002  -166.7594163  5.767342479  -2.037275059  3.73006742  
-291.9094002  -125.0427551  5.710881565  -1.444832773  4.266048792  
-291.9094002  -83.3260938  4.406722494  -0.1752598471  4.231462647  
-291.9094002  -41.60943253  0.1244405625  1.179073278  1.303513841  
-291.9094002  0.10722874  -0.194404079  1.958267317  1.763863238  
-291.9094002  41.82389001  -3.186274492  2.751429336  -0.4348451554  
-291.9094002  83.54055128  -1.613519709  2.763104784  1.149585075  
-291.9094002  125.2572126  -1.438793218  2.217680744  0.7788875253  
-291.9094002  166.9738738  -0.3727213585  1.770547502  1.397826143  
-291.9094002  208.6905351  -0.3107012079  1.55503752  1.244336312  
-291.9094002  250.4071964  -0.247792801  1.467366004  1.219573203  
-250.1927389  -333.6260614  -1.274642563  0.1551580162  -1.119484547  
-250.1927389  -291.9094002  1.827859368  -1.007192932  0.8206664358  
-250.1927389  -250.1927389  3.455875509  -1.575882631  1.879992878  
-250.1927389  -208.4760776  6.419052067  -2.134944116  4.284107951  
-250.1927389  -166.7594163  7.914482544  -2.81968102  5.094801525  
-250.1927389  -125.0427551  8.887323442  -2.056125619  6.831197823  
-250.1927389  -83.3260938  6.568648608  -0.4738983569  6.094750251  
-250.1927389  -41.60943253  1.900420341  1.258376702  3.158797042  
-250.1927389  0.10722874  0.08638624936  2.177280451  2.2636667  
-250.1927389  41.82389001  -2.818636226  3.42703946  0.6084032339  
-250.1927389  83.54055128  -4.000161083  3.616535563  -0.3836255205  
-250.1927389  125.2572126  -2.202277511  2.979455078  0.7771775667  
-250.1927389  166.9738738  -1.490948585  2.3729892  0.8820406157  
-250.1927389  208.6905351  -1.648150089  2.044683928  0.3965338387  
-250.1927389  250.4071964  -1.206361926  1.902607562  0.6962456366  
-208.4760776  -333.6260614  -1.067934937  0.02468859426  -1.043246343  
-208.4760776  -291.9094002  1.477169476  -1.339650824  0.1375186518  
-208.4760776  -250.1927389  3.323760253  -1.817894763  1.50586549  
-208.4760776  -208.4760776  8.021515132  -4.459824884  3.561690248  
-208.4760776  -166.7594163  11.41720046  -4.205633923  7.21156654  
-208.4760776  -125.0427551  11.91585771  -2.854642322  9.061215393  
-208.4760776  -83.3260938  8.236794244  -0.7601531777  7.476641066  
-208.4760776  -41.60943253  4.118560143  1.467538019  5.586098162  
-208.4760776  0.10722874  3.095210543  2.510932418  5.606142961  
